Molecule Name,SMILES,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,,,56.4,182.3,,,,,,,,=,=,,,,,,AELDWFGFDSTYDV-DEOSSOPVSA-N
E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,,160.4,1351.1,,,,,,,,=,=,,,,,,NCCOQMRIPAPGNR-UHFFFAOYSA-N
E-0001827,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,,,,193.5,,,,,,,,,=,,,,,,ZNTBNESSWOHBPD-UHFFFAOYSA-N
E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,,,9.5,38.0,,,,,,,,=,<,,,,,,UYUIMPIKINVAPS-UHFFFAOYSA-N
E-0002036,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,8.6,162.0,,,,,0.0122,,,<,=,,,,,=,DTYIIQCGXIIFFU-UHFFFAOYSA-N
E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,18.9,64.2,,,,,,,,=,=,,,,,,XPTOQRSOKGUGAU-UHFFFAOYSA-N
E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,,,14.9,66.1,,,,,,,,=,=,,,,,,RUVRREXDWZZJNC-UHFFFAOYSA-N
E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,,,15.0,167.0,,,,,,,,=,=,,,,,,DFJYVDROFXMAHN-UHFFFAOYSA-N
E-0002337,CN(C)C[C@H](O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OC[C@@H](O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,8.6,38.0,,,,,,,,<,<,,,,,,XPTOQRSOKGUGAU-PMACEKPBSA-N
E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,,,243.3,77.7,,,,,,,,=,=,,,,,,BFSSJJONCKJJEC-UHFFFAOYSA-N
